Experiment,Sample_ID,Name,Sample,Date,Cocktail,Nuclei,Differentiation
Exp5,S55,Clec11a,Clec11a-KD-1,91817,Half,4816,0.126
Exp5,S55,Clec11a,Clec11a-KD-2,91817,Half,5140,0.1107
Exp5,S55,Clec11a,Clec11a-KD-3,91817,Half,4939,0.1195
Exp5,S55,Clec11a,Clec11a-KD-4,91817,Half,4824,0.119
Exp5,S56,Clec11a,Clec11a-KD-5,91817,Half,6859,0.1405
Exp5,S56,Clec11a,Clec11a-KD-6,91817,Half,5936,0.1274
Exp5,S56,Clec11a,Clec11a-KD-7,91817,Half,6454,0.1253
Exp5,S57,Dner,Dner-KD-1,91817,Half,8241,0.08955
Exp5,S57,Dner,Dner-KD-2,91817,Half,8400,0.08929
Exp5,S57,Dner,Dner-KD-3,91817,Half,8036,0.09196
Exp5,S57,Dner,Dner-KD-4,91817,Half,7795,0.09763
Exp5,S58,Dner,Dner-KD-5,91817,Half,9174,0.1138
Exp5,S58,Dner,Dner-KD-6,91817,Half,8912,0.1389
Exp5,S58,Dner,Dner-KD-7,91817,Half,9155,0.1206
Exp5,S59,Rtp3,RTP3-KD-1,91817,Half,7134,0.1997
Exp5,S59,Rtp3,RTP3-KD-2,91817,Half,6169,0.1916
Exp5,S59,Rtp3,RTP3-KD-3,91817,Half,6136,0.211
Exp5,S59,Rtp3,RTP3-KD-4,91817,Half,6025,0.2025
Exp5,S60,Rtp3,RTP3-KD-5,91817,Half,6538,0.2054
Exp5,S60,Rtp3,RTP3-KD-6,91817,Half,6902,0.1999
Exp5,S60,Rtp3,RTP3-KD-7,91817,Half,6802,0.1735
Exp5,S61,Mamdc2,Mamdc2-KD-1,91817,Half,8420,0.04786
Exp5,S61,Mamdc2,Mamdc2-KD-2,91817,Half,8185,0.04252
Exp5,S61,Mamdc2,Mamdc2-KD-3,91817,Half,8439,0.05095
Exp5,S61,Mamdc2,Mamdc2-KD-4,91817,Half,7318,0.0522
Exp5,S62,Mamdc2,Mamdc2-KD-5,91817,Half,7804,0.06292
Exp5,S62,Mamdc2,Mamdc2-KD-6,91817,Half,8704,0.05032
Exp5,S62,Mamdc2,Mamdc2-KD-7,91817,Half,8271,0.04486
Exp5,S63,Vit,Vit-KD-1,91817,Half,3134,0.164
Exp5,S63,Vit,Vit-KD-2,91817,Half,3201,0.1815
Exp5,S63,Vit,Vit-KD-3,91817,Half,3576,0.2106
Exp5,S63,Vit,Vit-KD-4,91817,Half,2798,0.1905
Exp5,S64,Vit,Vit-KD-5,91817,Half,3122,0.206
Exp5,S64,Vit,Vit-KD-6,91817,Half,3185,0.2082
Exp5,S64,Vit,Vit-KD-7,91817,Half,3482,0.1841
Exp5,S65,Ndufa4l2,ndufa4l2-KD-1,91817,Half,5768,0.09414
Exp5,S65,Ndufa4l2,ndufa4l2-KD-2,91817,Half,5780,0.09602
Exp5,S65,Ndufa4l2,ndufa4l2-KD-3,91817,Half,5875,0.09685
Exp5,S65,Ndufa4l2,ndufa4l2-KD-4,91817,Half,5823,0.08655
Exp5,S66,Ndufa4l2,ndufa4l2-KD-5,91817,Half,6176,0.08711
Exp5,S66,Ndufa4l2,ndufa4l2-KD-6,91817,Half,6005,0.1059
Exp5,S66,Ndufa4l2,ndufa4l2-KD-7,91817,Half,7024,0.09439
Exp5,S67,Ptch2,Ptch2-KD-1,91817,Half,8724,0.09365
Exp5,S67,Ptch2,Ptch2-KD-2,91817,Half,7625,0.1159
Exp5,S67,Ptch2,Ptch2-KD-3,91817,Half,7741,0.1462
Exp5,S67,Ptch2,Ptch2-KD-4,91817,Half,7513,0.1251
Exp5,S68,Ptch2,Ptch2-KD-5,91817,Half,7828,0.1178
Exp5,S68,Ptch2,Ptch2-KD-6,91817,Half,6741,0.1262
Exp5,S68,Ptch2,Ptch2-KD-7,91817,Half,8373,0.1126
Exp5,S69,Hopx,Hopx-KD-1,91817,Half,7688,0.0986
Exp5,S69,Hopx,Hopx-KD-2,91817,Half,6964,0.116
Exp5,S69,Hopx,Hopx-KD-3,91817,Half,7334,0.1084
Exp5,S69,Hopx,Hopx-KD-4,91817,Half,7624,0.1127
Exp5,S70,Hopx,Hopx-KD-5,91817,Half,7282,0.085
Exp5,S70,Hopx,Hopx-KD-6,91817,Half,7262,0.07422
Exp5,S70,Hopx,Hopx-KD-7,91817,Half,7640,0.08678
Exp5,S71,Gli1,gli1-KD-1,91817,Half,7878,0.0834
Exp5,S71,Gli1,gli1-KD-2,91817,Half,6426,0.06738
Exp5,S71,Gli1,gli1-KD-3,91817,Half,7103,0.08053
Exp5,S71,Gli1,gli1-KD-4,91817,Half,6857,0.1046
Exp5,S72,Gli1,gli1-KD-5,91817,Half,8757,0.09764
Exp5,S72,Gli1,gli1-KD-6,91817,Half,8024,0.09571
Exp5,S72,Gli1,gli1-KD-7,91817,Half,7739,0.1016
Exp6,S73,Control,C-1,10917,Half,7878,0.1037
Exp6,S73,Control,C-2,10917,Half,7986,0.0998
Exp6,S73,Control,C-3,10917,Half,7675,0.0942
Exp6,S73,Control,C-4,10917,Half,7679,0.1084
Exp6,S74,Control,C-5,10917,Half,8036,0.08848
Exp6,S74,Control,C-6,10917,Half,7834,0.08693
Exp6,S74,Control,C-7,10917,Half,7692,0.07878
Exp6,S74,Control,C-8,10917,Half,7868,0.06876
Exp6,S75,Rtp3,rtp3-KD-1,10917,Half,7654,0.1608
Exp6,S75,Rtp3,rtp3-KD-2,10917,Half,8132,0.1584
Exp6,S75,Rtp3,rtp3-KD-3,10917,Half,7551,0.1973
Exp6,S75,Rtp3,rtp3-KD-4,10917,Half,7887,0.1695
Exp6,S76,Rtp3,rtp3-KD-5,10917,Half,7683,0.1446
Exp6,S76,Rtp3,rtp3-KD-6,10917,Half,8549,0.1392
Exp6,S76,Rtp3,rtp3-KD-7,10917,Half,7929,0.1671
Exp6,S76,Rtp3,rtp3-KD-8,10917,Half,7344,0.1652
Exp6,S77,Il20rb,Il20rb-KD-1,10917,Half,7350,0.1612
Exp6,S77,Il20rb,Il20rb-KD-2,10917,Half,6624,0.1342
Exp6,S77,Il20rb,Il20rb-KD-3,10917,Half,7119,0.1499
Exp6,S77,Il20rb,Il20rb-KD-4,10917,Half,7110,0.138
Exp6,S78,Il20rb,Il20rb-KD-5,10917,Half,8501,0.1169
Exp6,S78,Il20rb,Il20rb-KD-6,10917,Half,8314,0.1348
Exp6,S78,Il20rb,Il20rb-KD-7,10917,Half,8595,0.1236
Exp6,S78,Il20rb,Il20rb-KD-8,10917,Half,8335,0.1115
