Sample Name,2ddct
Il20rb-KD-1-2,0.306004603
Il20rb-KD-2-1,0.264735527
Il20rb-KD-2-2,0.233683102
Il20rb-KD-3-1,0.214734452
Il20rb-KD-3-2,0.194605377
Il20rb-KD-4-1,0.230945625
Il20rb-KD-4-2,0.237932523
C-1,0.574
C-1,0.491
C-2,0.589
C-2,0.557
C-3,1.701
C-3,1.643
C-4,1.9
C-4,2.033
slc6a2-KD-1-1,0.218
slc6a2-KD-1-2,0.204
slc6a2-KD-2-1,0.193
slc6a2-KD-2-2,0.198
slc6a2-KD-3-1,0.218
slc6a2-KD-3-2,0.159
slc6a2-KD-4-1,0.101
slc6a2-KD-4-2,0.097
C-1,0.451954809
C-1,0.374036175
C-2,0.551047936
C-2,0.580452731
C-3,1.676263872
C-3,1.850928185
C-4,2.352592583
C-4,2.533707427
spink2-KD-1-1,0.060229905
spink2-KD-1-2,0.058501805
spink2-KD-2-1,0.031678034
spink2-KD-2-2,0.03507588
spink2-KD-3-1,0.019594939
spink2-KD-3-2,0.052360587
spink2-KD-4-1,0.076395166
spink2-KD-4-2,0.057736397
C-1,0.899145366
C-1,0.866712176
C-2,1.027846743
C-2,1.126326531
C-3,0.975777691
C-3,0.955034177
C-4,1.173343275
C-4,1.013695752
fgf12-KD-1-1,0.17789861
fgf12-KD-1-2,0.272084392
fgf12-KD-2-1,0.141524655
fgf12-KD-2-2,0.060922825
fgf12-KD-3-1,0.246067435
fgf12-KD-3-2,0.182266974
fgf12-KD-4-1,0.180507045
fgf12-KD-4-2,0.250368551
C-1,1.030343672
C-1,1.17375016
C-2,0.982224957
C-2,1.15358614
C-3,0.8357386
C-3,0.689739383
C-4,1.111976454
C-4,1.138492454
7-Dapk2,0.603113316
7-Dapk2,0.857078383
7-Dapk2,0.769237407
7-Dapk2,0.394063675
7-Dapk2,0.712765897
7-Dapk2,0.618780545
7-Dapk2,0.750279279
7-Dapk2,0.927551555
C-1,1.10687978
C-1,1.103052367
C-2,0.933356512
C-2,0.688009133
C-3,0.756546497
C-3,0.883622211
C-4,1.276770352
C-4,1.494330333
kcnj8-KD-1-1,1.12
kcnj8-KD-1-2,1.21
kcnj8-KD-2-1,1.26
kcnj8-KD-2-2,1.12
kcnj8-KD-3-1,1.24
kcnj8-KD-3-2,0.92
kcnj8-KD-4-1,1.14
kcnj8-KD-4-2,0.76
kcnj8-KD-5-1,0.77
kcnj8-KD-5-2,0.76
kcnj8-KD-6-1,0.92
kcnj8-KD-6-2,0.96
C-1,1.348949154
C-1,1.165405248
C-2,1.090381468
C-2,1.239563702
C-3,0.775841432
C-3,0.684363143
C-4,1.124928279
C-4,1.051050176
C-4,0.680578104
C-4,0.92905374
C-6,1.234420394
C-6,0.960484536
Cpxm2-KD-1-1,1.223170021
Cpxm2-KD-1-2,1.282203939
Cpxm2-KD-2-1,0.977132118
Cpxm2-KD-2-2,0.853596315
Cpxm2-KD-3-1,0.680479819
Cpxm2-KD-3-2,0.656845328
Cpxm2-KD-4-1,0.632275529
Cpxm2-KD-4-2,0.671577211
C-1,1.024290142
C-1,1.155587199
C-2,0.901640621
C-2,0.852413321
C-3,0.58748519
C-3,0.891697068
C-4,1.380915779
C-4,1.519529494
Akrlc12-KD-1-1,2.630342912
Akrlc12-KD-1-2,2.68933687
Akrlc12-KD-2-1,2.25519279
Akrlc12-KD-2-2,2.362394997
Akrlc12-KD-3-1,3.666112313
Akrlc12-KD-3-2,3.497320931
Akrlc12-KD-4-1,2.44910081
Akrlc12-KD-4-2,2.019853102
C-1,0.884080124
C-1,0.877974358
C-2,1.349336001
C-2,1.33537992
C-3,0.897044119
C-3,1.016951307
C-4,0.694597294
C-4,1.128377827
vit-KD-1-1,0.357
vit-KD-1-2,0.336
vit-KD-2-1,0.192
vit-KD-2-2,0.159
vit-KD-3-1,0.188
vit-KD-3-2,0.176
vit-KD-4-1,0.288
vit-KD-4-2,0.234
vit-KD-5-1,0.372
vit-KD-5-2,0.358
vit-KD-6-1,0.376
vit-KD-6-2,0.305
C-1,0.864
C-1,1.115
C-2,1.135
C-2,0.842
C-3,0.936
C-3,1.026
C-4,0.791
C-4,1.04
C-5,1.043
C-5,1.072
C-6,1.089
C-6,1.048
